_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6a2529a2e350e3df15e34ebf,false,83.4,97.22,83.4,69.56,417;0;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1780820384753
6a2518f3e350e3df15e2d6a0,false,77.41,93.59,79.61,64.38,387;5;1;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1780816115000
6a2518a0e350e3df15e2d442,false,89,98.24,89,77.12,445;0;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1780816032000
6a2517e7e350e3df15e2cf17,false,85.6,97.97,86.6,70.32,428;1;0;1,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1780815847000
6a251776e350e3df15e2cbbc,false,91.22,98.49,91.22,73.1,456;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1780815734000
6a2120a44127c7c12cdd93a4,false,82.4,97.9,82.4,70.43,412;0;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1780555940000
6a2120624127c7c12cdd9160,true,92.42,99.35,92.42,79.11,462;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1780555874000
6a21201a4127c7c12cdd8ef7,false,81.6,96.24,81.6,70.36,408;0;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1780555802000
6a1fcad102c8b17f6ccc9069,false,80.61,96.69,81.81,72.54,403;1;1;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1780468433000
6a1fca9202c8b17f6ccc8df4,false,78.61,95.67,79.81,67.34,393;1;1;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1780468370000
6a1fca5302c8b17f6ccc8bb9,false,83.41,98.82,83.41,72.42,417;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1780468307000
6a0c0bb532edce57f7a21435,false,84.99,97.94,84.99,71.04,425;0;0;0,time,60,-1,0,60.01,0,0,true,false,english,,normal,false,false,false,,1779174325000
6a0c0af532edce57f7a20d1c,false,89.41,98.46,89.41,76.93,447;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1779174133000
6a017c7a77aa75003397ada7,false,80.83,96.89,80.83,72.27,404;0;0;0,time,60,-1,0,59.98,0,0,true,false,english,,normal,false,false,false,,1778482298000
6a017c3a77aa75003397ab49,false,87.81,98,87.81,76.28,439;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1778482234000
6a0175cd77aa750033976da5,false,81.61,99.28,81.61,72.8,408;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1778480589000
69f72ed1b392f0b5c98e8cf5,false,79,97.8,80.2,69.52,395;1;0;0,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1777807057000
69f6fc39b392f0b5c98cff57,false,76.41,95.32,77.21,63.78,382;0;0;1,time,60,-1,0,60,0,0,true,false,english,,normal,false,false,false,,1777794105000
69f6f5d9b392f0b5c98ccd05,false,83.22,97.2,83.22,73.59,416;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1777792473000
69f6f597b392f0b5c98ccb07,false,91.61,99.57,91.61,76.18,458;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1777792407000
69ef008ab392f0b5c9421190,false,78.21,95.2,78.21,71.06,391;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1777270922000
69ef0045b392f0b5c9420f12,false,86.21,98.41,86.21,75.15,431;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1777270853000
